Abbott Laboratories | EAS
Abbott Laboratories | EleCare
Abbott Laboratories | FreeStyle (glucose monitors)
Abbott Laboratories | Similac 360 Total Care
Anheuser-Busch InBev | 10 Barrel
Anheuser-Busch InBev | Babe Wine
Anheuser-Busch InBev | Beck's
Anheuser-Busch InBev | Busch
Anheuser-Busch InBev | Cutwater Spirits
Anheuser-Busch InBev | Devils Backbone
Anheuser-Busch InBev | Elysian
Anheuser-Busch InBev | Goose Island
Anheuser-Busch InBev | Hoegaarden
Anheuser-Busch InBev | Landshark
Anheuser-Busch InBev | Leffe
Anheuser-Busch InBev | Natural Light
Anheuser-Busch InBev | Negra Modelo
Anheuser-Busch InBev | Nutrl
Anheuser-Busch InBev | Rolling Rock
Anheuser-Busch InBev | Shock Top
Anheuser-Busch InBev | Wicked Weed
B&G Foods | B&M Baked Beans
B&G Foods | Bear Creek
B&G Foods | Dash (seasoning)
B&G Foods | Le Sueur
B&G Foods | Molly McButter
B&G Foods | Spring Tree
B&G Foods | Victoria (pasta sauce)
B&G Foods | Wright's
Bayer | Bepanthen
Bayer | Berocca
Bayer | Canesten
Bayer | Dr. Scholl's (some markets)
Bayer | Elevit
Bayer | Flintstones Vitamins
Bayer | Roundup (Monsanto)
Berkshire Hathaway (Duracell) | Coca-Cola (major stake)
Berkshire Hathaway (Duracell) | Dairy Queen
Berkshire Hathaway (Duracell) | Duracell Optimum
Berkshire Hathaway (Duracell) | Duracell Rechargeable
Berkshire Hathaway (Duracell) | Fruit of the Loom
Berkshire Hathaway (Duracell) | Kraft Heinz (major stake)
Berkshire Hathaway (Duracell) | Russell Athletic
Berkshire Hathaway (Duracell) | See's Candies
Bob Evans Farms (now Post Holdings) | Bob Evans Grocery (refrigerated sides, sausage, mac & cheese)
Campbell's (Campbell Soup Company) | Rao's Homemade
Campbell's (Campbell Soup Company) | Snack Factory Pretzel Crisps
Campbell's (Campbell Soup Company) | V8 Splash
Church & Dwight | Hero Cosmetics
Church & Dwight | OraJel
Church & Dwight | Waterpik
Church & Dwight | Xtra (laundry)
Church & Dwight | Zicam
Colgate-Palmolive | Fabuloso
Colgate-Palmolive | Fleecy
Colgate-Palmolive | Hill's Prescription Diet
Colgate-Palmolive | Hill's Science Diet
Colgate-Palmolive | Murphy Oil Soap
Colgate-Palmolive | Soupline
Colgate-Palmolive | Suavitel
Colgate-Palmolive | Tender Care
Conagra Brands | Andy Capp's
Conagra Brands | Angie's Boomchickapop
Conagra Brands | David Seeds
Conagra Brands | Earth Balance
Conagra Brands | Mrs. Butterworth's
Conagra Brands | P.F. Chang's (frozen)
Conagra Brands | Ro*Tel
Danone | Badoit
Danone | Cow & Gate
Danone | DanActive
Danone | Danimals
Danone | Happy Family Organics
Danone | Light + Fit
Danone | SToK Cold Brew
Danone | Two Good
Danone | Wallaby Organic
Dean Foods (defunct — 2019 bankruptcy) | Berkeley Farms
Dean Foods (defunct — 2019 bankruptcy) | DairyPure
Dean Foods (defunct — 2019 bankruptcy) | Dean's
Dean Foods (defunct — 2019 bankruptcy) | Garelick Farms
Dean Foods (defunct — 2019 bankruptcy) | Land O'Lakes (fluid milk license)
Dean Foods (defunct — 2019 bankruptcy) | Lehigh Valley
Dean Foods (defunct — 2019 bankruptcy) | Meadow Gold
Dean Foods (defunct — 2019 bankruptcy) | TruMoo
Dean Foods (defunct — 2019 bankruptcy) | Tuscan
Edgewell Personal Care | Banana Boat (former)
Edgewell Personal Care | Billie
Edgewell Personal Care | Bulldog Skincare
Edgewell Personal Care | Carefree
Edgewell Personal Care | Cremo
Edgewell Personal Care | Edge
Edgewell Personal Care | Hawaiian Tropic (former)
Edgewell Personal Care | Jack Black
Edgewell Personal Care | Playtex (tampons)
Edgewell Personal Care | Skintimate
Edgewell Personal Care | Stayfree
Edgewell Personal Care | Wilkinson Sword
Energizer Holdings | A/C Pro
Energizer Holdings | HandiWipes
Energizer Holdings | Playtex (gloves/household)
Energizer Holdings | Schick (Energizer spun off Edgewell)
Estée Lauder Companies | AERIN
Estée Lauder Companies | Donna Karan Cosmetics
Estée Lauder Companies | Jo Malone London
Estée Lauder Companies | Kilian Paris
Estée Lauder Companies | Prescriptives
Estée Lauder Companies | Tom Ford Beauty
General Mills | Gardetto's
General Mills | Gold Medal Flour
General Mills | Häagen-Dazs (US)
General Mills | Kix
General Mills | Oui by Yoplait
General Mills | Reese's Puffs
General Mills | Toaster Strudel
Haleon (formerly GSK Consumer) | Abreva
Haleon (formerly GSK Consumer) | Nexium 24HR
Haleon (formerly GSK Consumer) | Voltaren
Henkel | all (laundry)
Henkel | Dial
Henkel | Duck Tape
Henkel | Gliss
Henkel | got2b
Henkel | Loctite
Henkel | Nature Box
Henkel | Persil (NA)
Henkel | Pritt
Henkel | Purex
Henkel | Right Guard
Henkel | Schwarzkopf
Henkel | Snuggle
Henkel | Sun (NA)
Henkel | Syoss
Henkel | Tone
Hormel Foods | Black Label (bacon)
Hormel Foods | Chi-Chi's
Hormel Foods | Columbus Craft Meats
Hormel Foods | House of Tsang
Hormel Foods | Justin's
Hormel Foods | Mary Kitchen
Hormel Foods | Planters (JV)
Hormel Foods | Wholly
Johnson & Johnson | Carefree
Johnson & Johnson | Desitin
Johnson & Johnson | Johnson's Baby
Johnson & Johnson | Lubriderm
Johnson & Johnson | o.b.
Johnson & Johnson | Stayfree
Johnson & Johnson | Sudafed
Kellanova (formerly Kellogg's) | Carr's
Kellanova (formerly Kellogg's) | Club Crackers
Kellanova (formerly Kellogg's) | Kashi
Kellanova (formerly Kellogg's) | Morningstar Farms
Kellanova (formerly Kellogg's) | Rice Krispies Treats
Kellanova (formerly Kellogg's) | RXBAR
Keurig Dr Pepper | A&W Root Beer
Keurig Dr Pepper | K-Cup
Keurig Dr Pepper | Krispy Kreme (at-home)
Keurig Dr Pepper | Laughing Man
Keurig Dr Pepper | RC Cola
Keurig Dr Pepper | Squirt
Keurig Dr Pepper | Sunkist Soda
Keurig Dr Pepper | Timothy's
Keurig Dr Pepper | Van Houtte
Keurig Dr Pepper | Vernors
Kimberly-Clark | Kimtech
Kraft Heinz | Cracker Barrel (cheese)
Kraft Heinz | TGI Friday's (frozen)
L'Oréal | Aesop
L'Oréal | Kérastase
L'Oréal | SkinCeuticals
L'Oréal | Thayers
L'Oréal | Valentino Beauty
L'Oréal | Yves Saint Laurent Beauty
Land O'Lakes | Kozy Shack
Land O'Lakes | Land O'Lakes Butter
Land O'Lakes | Land O'Lakes Cheese
Land O'Lakes | Purina (animal feed — different from Nestlé Purina pet)
Land O'Lakes | WinField United (ag)
Mars, Inc. | 5 Gum
Mars, Inc. | Eukanuba
Mars, Inc. | KIND Snacks
Mars, Inc. | Tasty Bite
McCormick & Company | Club House
McCormick & Company | DaVinci Gourmet
McCormick & Company | Ducros
McCormick & Company | Grill Mates
McCormick & Company | Kamis
McCormick & Company | Schwartz
Molson Coors Beverage Company | Carling
Molson Coors Beverage Company | Coors Banquet
Molson Coors Beverage Company | Hamm's
Molson Coors Beverage Company | Hop Valley
Molson Coors Beverage Company | Miller Genuine Draft
Molson Coors Beverage Company | Miller High Life
Molson Coors Beverage Company | Molson Canadian
Molson Coors Beverage Company | Molson Export
Molson Coors Beverage Company | Pilsner Urquell
Molson Coors Beverage Company | Staropramen
Molson Coors Beverage Company | Steel Reserve
Molson Coors Beverage Company | ZOA Energy
Mondelez International | Barni
Mondelez International | Bassett's
Mondelez International | Good Thins
Mondelez International | Hu Kitchen
Mondelez International | Newtons
Mondelez International | Philadelphia (intl)
Mondelez International | Tate's Bake Shop
Mondelez International | Teddy Grahams
Mondelez International | TUC
Monster Beverage | Burn
Monster Beverage | Full Throttle
Monster Beverage | Fury
Monster Beverage | Monster Java
Monster Beverage | Monster Rehab
Monster Beverage | Monster Ultra
Monster Beverage | Mother
Monster Beverage | NOS
Monster Beverage | Predator
Nestlé | Baby Ruth
Nestlé | Cheerios (not Nestlé — General Mills)
Nestlé | Coffee-mate
Nestlé | Essentia Water
Nestlé | Ice Mountain
Nestlé | Maison Perrier
Nestlé | NaturNes
